source	target
CTSG	SDCBP
CTSG	PYCARD
CTSG	C3
CTSG	PRTN3
CTSG	MPO
CTSG	RETN
CCR7	CCL4
CCR7	GNB1
CCR7	CCL5
CCR7	CCR3
CCR7	CXCL2
CCR7	CXCR4
CCR7	SAA1
CCR7	POMC
CCR7	CXCL12
CCR7	CXCL1
CCR7	ANXA1
CCR7	CXCR3
CCR7	AGT
CCR7	CCL20
CCR7	PTGER3
CCR7	GNAI1
CCR7	GNG2
CCR7	PTGDR2
CCR7	CCR4
CCR7	CXCL8
CCR7	CXCL10
CCR7	CCR1
CCR7	CXCL3
CCR7	CCR5
CCR7	CCR2
CCR7	APP
CCR7	KNG1
CCR7	GNGT1
FCER1A	VAV1
FCER1A	PIK3R1
FCER1A	SHC1
FCER1A	SOS1
FCER1A	GRB2
FCER1A	SYK
FCER1A	JUN
TNFRSF13C	MAP3K14
TNFRSF13C	BIRC2
TNFRSF13C	TRAF3
TNFRSF13C	TNF
TNFRSF13C	TNFSF13B
TNFRSF13C	CD40LG
HBB	CXCL1
HBB	MMP9
PTGDR2	CCL4
PTGDR2	GNB1
PTGDR2	CCL5
PTGDR2	CCR3
PTGDR2	CXCL2
PTGDR2	CXCR4
PTGDR2	SAA1
PTGDR2	POMC
PTGDR2	CXCL12
PTGDR2	CXCL1
PTGDR2	ANXA1
PTGDR2	CXCR3
PTGDR2	AGT
PTGDR2	CCL20
PTGDR2	PTGER3
PTGDR2	GNAI1
PTGDR2	GNG2
CD40	BIRC2
CD40	TRAF3
CD40	AKT1
CD40	TRAF6
CD40	IKBKB
CD40	PIK3R1
CD40	IL10
CD40	MAP2K4
CD40	TNF
CD40	MAPK9
CD40	IL6
CD40	RELA
CD40	MAPK8
GRB2	GNB1
GRB2	FGF1
GRB2	VEGFA
GRB2	VAV1
GRB2	AKT1
GRB2	HCK
GRB2	PIK3R1
GRB2	HRAS
GRB2	ESR1
GRB2	SHC1
GRB2	RHOA
GRB2	SOS1
GRB2	IL6
GRB2	INS
GRB2	ITGB1
GRB2	IL4R
GRB2	PRKCD
CD28	VAV1
CD28	AKT1
CD28	ITGAM
CD28	PIK3R1
CD28	ITGB2
CD28	ITGA4
CD28	ITGB1
CD28	HLA-DRA
CD28	GRB2
CD28	AKT2
CD28	ITGAD
CD28	FOXP3
CD28	SYK
CD28	FCGR3A
CD28	HLA-DRB1
CD28	ITGAL
CD28	RAC1
CD28	FYN
CD28	LCK
CD28	CD86
TF	LDLR
TF	UBC
TF	SERPINA1
TF	C4A
TF	UBA52
PTK2	GNB1
PTK2	VEGFA
PTK2	VAV1
PTK2	HCK
PTK2	PIK3R1
PTK2	HRAS
PTK2	SHC1
PTK2	RHOA
PTK2	SOS1
