source	target
Cytokines	TRAF3
Allograft_rejection	TGFB1
Allograft_rejection	CTLA4
Allograft_rejection	IL10
Allograft_rejection	IL5
Allograft_rejection	IL4
Allograft_rejection	IL2
Allograft_rejection	IFNG
Allograft_rejection	IL12A
Allograft_rejection	FAS
Allograft_rejection	CD28
Allograft_rejection	CD86
Allograft_rejection	CD80
Allograft_rejection	VIP
