source	target
BDKRB1	GNB1
BDKRB1	CCL5
BDKRB1	BDKRB2
BDKRB1	PIK3R1
BDKRB1	CXCL2
BDKRB1	AGTR1
BDKRB1	SAA1
BDKRB1	POMC
BDKRB1	LTB4R
BDKRB1	CCK
BDKRB1	CXCL1
BDKRB1	EDN1
BDKRB1	ANXA1
BDKRB1	CNR2
BDKRB1	CXCR3
BDKRB1	AGTR2
BDKRB1	AGT
BDKRB1	CCL20
BDKRB1	GNG2
BDKRB1	F2R
BDKRB1	TAC1
BDKRB1	F2
BDKRB1	CXCL8
BDKRB1	CXCL10
BDKRB1	F2RL1
BDKRB1	PF4
BDKRB1	APP
BDKRB1	GAL
BDKRB1	KNG1
BDKRB1	PIK3CA
BDKRB1	CCL21
BDKRB1	C3
BDKRB1	CCL13
BDKRB1	C5
BDKRB1	OXT
BDKRB2	CCL4
BDKRB2	GNB1
BDKRB2	CCL5
CASP1	NLRP1
KYNU	IDO1
CASP5	NLRP1
CASP5	CASP1
CASP5	NLRC4
CASP8	IKBKG
CASP8	MAP3K14
CASP8	BIRC2
CASP8	ITGB3
CASP8	CASP1
CASP8	IKBKB
CASP8	TICAM2
CASP8	MAVS
CASP8	TNF
CASP8	RELA
CASP8	BCL2
CASP8	COL2A1
CASP8	DDX58
CASP8	COL4A1
CASP8	TLR4
CASP8	XIAP
CASP8	CHUK
OASL	IRF3
OASL	CD44
OASL	IRF7
OASL	HLA-DRA
OASL	DDX58
OASL	HLA-DRB1
OASL	TRIM25
OASL	STAT2
OASL	VCAM1
OASL	ICAM1
LTB4R	GNB1
LTB4R	BDKRB2
LTB4R	PIK3R1
LTB4R	AGTR1
LTB4R	SAA1
CXCL2	CCL4
CXCL2	GNB1
CXCL2	CCL5
CXCL2	BDKRB2
HMGB1	IKBKG
HMGB1	IRF3
HMGB1	ITGB3
HMGB1	IKBKB
HMGB1	MYD88
HMGB1	IRAK4
HMGB1	SAA1
HMGB1	RELA
HMGB1	ITGB2
HMGB1	IRF7
HMGB1	TIRAP
HMGB1	IFNB1
HMGB1	AGER
HMGB1	TLR4
HMGB1	JUN
HMGB1	CHUK
HMGB1	IRAK1
HMGB1	NFKB2
HMGB1	S100A12
HMGB1	CAPZA2
HMGB1	TLR1
CXCL1	CCL4
CXCL1	GNB1
CXCL1	CCL5
CXCL1	ELANE
CXCL1	BDKRB2
CXCL1	CXCL2
CXCL1	IL10
CXCL1	IL6
CXCL1	SAA1
CXCL1	POMC
CXCL1	CST3
OXT	GNB1
OXT	BDKRB2
OXT	PIK3R1
