pathway	entrezgene
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	64127
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	6885
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	7189
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	8517
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	8767
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	1147
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	177
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	23586
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	3146
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	351
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	3551
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	4214
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	4791
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	4792
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	4793
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	57506
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	5970
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	6283
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	6285
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	6288
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	64135
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	7186
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	7189
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	7706
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	84282
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	8517
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	6472
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	5340
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	326625
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	6352
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	7124
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	2155
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	3043
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	3039
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	2147
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	875
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	3553
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	3630
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	6347
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	4524
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	6948
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	6947
